% Model:              double_sin_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:36
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.1500000000003
0.1                       1123.1500000000003
0.15000000000000002       1123.1500000000003
0.2                       1123.1500000000003
0.25                      1120.9534433255678
0.30000000000000004       1091.062062816125
0.35000000000000003       1026.8738929607193
0.4                       959.8437047442858
0.45                      892.7971072340385
0.5                       831.1159097191475
0.55                      799.209597206157
0.6000000000000001        778.70389912644
0.65                      724.7701874253648
0.7000000000000001        657.8036365076499
0.75                      590.7570385288362
0.8                       523.7104411419609
0.8500000000000001        480.9840705582061
0.9                       474.5773226425085
0.9500000000000001        474.5389808726359
1                         474.53898115023753
1.05                      474.5389811323573
1.1                       474.53898109905117
1.1500000000000001        474.53898104595606
1.2000000000000002        474.5389809703454
1.25                      474.5389808753562
1.3                       474.5389807745558
1.35                      474.53898069740376
1.4000000000000001        474.5389806953464
1.4500000000000002        474.53898084828364
1.5                       474.538981271138
