% Model:              double_sin_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:58
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.1499999999996
0.05                      1123.1499999999999
0.1                       1123.1499999999999
0.15000000000000002       1123.1499999999999
0.2                       1123.1499999999999
0.25                      1121.6968178296434
0.30000000000000004       1100.9367181095158
0.35000000000000003       1040.2562427160503
0.4                       973.4623639708079
0.45                      906.4164820607422
0.5                       842.9286142828452
0.55                      802.4527213324112
0.6000000000000001        785.8218944529445
0.65                      737.1912155314907
0.7000000000000001        671.3593414157565
0.75                      604.3161887437357
0.8                       537.2696005835313
0.8500000000000001        485.7558798546115
0.9                       474.99190503628347
0.9500000000000001        474.40561898080233
1                         474.40395724006345
1.05                      474.403952734448
1.1                       474.4039526187232
1.1500000000000001        474.40395243918147
1.2000000000000002        474.4039521494321
1.25                      474.4039517091031
1.3                       474.4039510752026
1.35                      474.4039502072818
1.4000000000000001        474.4039490748527
1.4500000000000002        474.4039476670204
1.5                       474.4039460040037
