% Model:              double_sin_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:57
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.1499999999999
0.1                       1123.1499999999999
0.15000000000000002       1123.1499999999999
0.2                       1123.1499999999999
0.25                      1121.7558999556438
0.30000000000000004       1101.1984521278405
0.35000000000000003       1040.670364189665
0.4                       973.887898763221
0.45                      906.8420490462123
0.5                       843.2007398936875
0.55                      802.3311562108115
0.6000000000000001        785.8129477250632
0.65                      737.6398859098986
0.7000000000000001        671.8450213807031
0.75                      604.8019728178073
0.8                       537.7553849366601
0.8500000000000001        486.1442323624949
0.9                       475.1458391925372
0.9500000000000001        474.5407005384546
1                         474.5389857556924
1.05                      474.53898114469615
1.1                       474.53898109908414
1.1500000000000001        474.538981045956
1.2000000000000002        474.5389809703453
1.25                      474.53898087535606
1.3                       474.53898077455574
1.35                      474.53898069740376
1.4000000000000001        474.5389806953465
1.4500000000000002        474.5389808482837
1.5                       474.5389812711381
