% Model:              top_hat_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:23
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.15
0.1                       1123.15
0.15000000000000002       1089.7435034914422
0.2                       1020.7371485213249
0.25                      951.6088204650486
0.30000000000000004       884.5570382467064
0.35000000000000003       817.5104269759613
0.4                       750.4638295535897
0.45                      683.4172321683069
0.5                       616.3706347831231
0.55                      549.3240373979404
0.6000000000000001        482.27744001275846
0.65                      415.23084262758226
0.7000000000000001        348.1842452424615
0.75                      281.13764785767756
0.8                       247.49754698295393
0.8500000000000001        249.45730457506048
0.9                       251.5390352685896
0.9500000000000001        251.54422016204592
1                         251.54423419069957
1.05                      251.54423453420387
1.1                       251.54423513588534
1.1500000000000001        251.54423623447883
1.2000000000000002        251.54423812035049
1.25                      251.54424119052015
1.3                       251.54424596530603
1.35                      251.54425310252012
1.4000000000000001        251.54426340924755
1.4500000000000002        251.54427785169116
1.5                       251.54429756387523
