% Model:              top_hat_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:23
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.1500000000005
0.1                       1123.1500000000005
0.15000000000000002       1108.611964951612
0.2                       1060.6678417460737
0.25                      993.7384540393344
0.30000000000000004       926.6918557868663
0.35000000000000003       859.6452583993544
0.4                       792.5986610141636
0.45                      725.5520636289802
0.5                       658.5054662437968
0.55                      591.4588688586139
0.6000000000000001        524.412271473432
0.65                      457.3656740882558
0.7000000000000001        390.319076703135
0.75                      323.2724793183511
0.8                       270.7639169834577
0.8500000000000001        251.66144281098536
0.9                       251.54423315497763
0.9500000000000001        251.54423408255994
1                         251.5442342279803
1.05                      251.54423453430377
1.1                       251.54423513588551
1.1500000000000001        251.54423623447857
1.2000000000000002        251.54423812035003
1.25                      251.54424119051964
1.3                       251.54424596530515
1.35                      251.54425310251904
1.4000000000000001        251.54426340924593
1.4500000000000002        251.54427785168917
1.5                       251.54429756387273
