% Model:              top_hat_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 14:21
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.15
0.1                       1123.15
0.15000000000000002       1088.2445550592415
0.2                       1019.1391433303363
0.25                      950.1000420759568
0.30000000000000004       883.0484891897099
0.35000000000000003       816.0018785331451
0.4                       748.9552811124207
0.45                      681.9086837271435
0.5                       614.8620863419601
0.55                      547.8154889567813
0.6000000000000001        480.7688915716475
0.65                      413.7222941868426
0.7000000000000001        346.6756968037202
0.75                      279.62909942708086
0.8                       247.487947011212
0.8500000000000001        249.54676143530534
0.9                       251.53926550140815
0.9500000000000001        251.5442214332207
1                         251.54423556273298
1.05                      251.544237179462
1.1                       251.54423990767327
1.1500000000000001        251.5442443589792
1.2000000000000002        251.54425128273974
1.25                      251.5442616171476
1.3                       251.54427650015788
1.35                      251.5442972755606
1.4000000000000001        251.54432549503483
1.4500000000000002        251.54436291692383
1.5                       251.5444115022177
