% Model:              top_hat_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 15:02
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.15
0.05                      1123.1499999999999
0.1                       1123.15
0.15000000000000002       1113.9230697133662
0.2                       1072.9962326336927
0.25                      1007.778198182461
0.30000000000000004       940.7367856817815
0.35000000000000003       873.6902021822854
0.4                       806.6436048342883
0.45                      739.5970074492047
0.5                       672.5504100640217
0.55                      605.5038126788386
0.6000000000000001        538.4572152936566
0.65                      471.41061790848045
0.7000000000000001        404.3640205233597
0.75                      337.31742313857575
0.8                       279.49775604192814
0.8500000000000001        253.37799574359033
0.9                       251.54943283207547
0.9500000000000001        251.54424800786956
1                         251.5442342652738
1.05                      251.54423453440376
1.1                       251.54423513588588
1.1500000000000001        251.54423623447883
1.2000000000000002        251.54423812035031
1.25                      251.54424119052015
1.3                       251.54424596530595
1.35                      251.54425310252003
1.4000000000000001        251.54426340924726
1.4500000000000002        251.54427785169082
1.5                       251.5442975638748
