% Model:              sinus_const-k-vals.mph
% Version:            COMSOL 5.3.1.229
% Date:               Jan 20 2020, 15:32
% Dimension:          1
% Nodes:              31
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         1123.1499999999999
0.05                      1123.15
0.1                       1123.15
0.15000000000000002       1113.5073062307888
0.2                       1071.5692278084096
0.25                      1006.269879744145
0.30000000000000004       939.2282378565782
0.35000000000000003       872.181653742764
0.4                       805.1350563931236
0.45                      738.0884590080369
0.5                       671.041861622854
0.55                      603.9952642376755
0.6000000000000001        536.9486668525415
0.65                      469.9020694677365
0.7000000000000001        402.8554720846139
0.75                      335.80887470797484
0.8                       278.40497112055823
0.8500000000000001        253.2964522381245
0.9                       251.54920311411357
0.9500000000000001        251.54424804724624
1                         251.54423563400852
1.05                      251.5442371796531
1.1                       251.5442399076739
1.1500000000000001        251.54424435897948
1.2000000000000002        251.54425128274005
1.25                      251.544261617148
1.3                       251.54427650015828
1.35                      251.54429727556123
1.4000000000000001        251.5443254950356
1.4500000000000002        251.54436291692474
1.5                       251.54441150221868
